,PlayerName,PlayerHeight,PlayerWeight,PotentialRating,BestPositions,BestOverallRating,PlayerValue,Wage,Nationality,Crossing,FinishingAccuracy,HeadingAccuracy,ShortPassing,Volleys,DefensiveAwareness,StandingTackle,SlidingTackle,Diving,Handling,Kicking,GkPositioning,Reflexes,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Acceleration,SprintSpeed,Agility,Reactions,Balance,ShotPower,JumpingPower,Stamina,Strength,LongShots,PreferredFoot,WeakFoot,SkillMoves,InternationalReputations,WorkRate,BodyType,Dribbling,Curve,FreekickAccuracy,LongPassing,BallControl,Age
0,Lionel Andrés Messi Cuccittini,170,72,93,RW,93,103500000,560000,Argentina,85,95,70,91,88,32,35,24,6,11,15,14,8,44,40,93,95,75,96,91,80,91,94,95,86,68,72,69,94,Left,4,4,5,Medium/ Low,Unique,96,93,94,91,96,35
1,Cristiano Ronaldo dos Santos Aveiro,187,83,92,ST,92,63000000,220000,Portugal,84,95,90,82,86,28,32,24,7,11,15,14,11,63,29,95,82,84,95,87,91,87,95,71,94,95,84,78,93,Right,4,5,5,High/ Low,Unique,88,81,76,77,92,37
2,Jan Oblak,188,87,93,GK,91,120000000,125000,Slovenia,13,11,15,43,13,27,12,18,87,92,78,90,90,34,19,11,65,11,68,43,60,67,88,49,59,78,41,78,12,Right,3,1,3,Medium/ Medium,Unique,12,13,14,40,30,29
3,Kevin De Bruyne,181,70,91,CAM,91,129000000,370000,Belgium,94,82,55,94,82,68,65,53,15,13,5,10,13,76,66,88,94,84,91,77,76,78,91,76,91,63,89,74,91,Right,5,4,4,High/ High,Unique,88,85,83,93,92,31
4,Neymar da Silva Santos Júnior,175,68,91,LW,91,132000000,270000,Brazil,85,87,62,87,87,35,30,29,9,9,15,15,11,51,36,87,90,92,93,94,89,96,91,83,80,62,81,50,84,Right,5,5,5,High/ Medium,Unique,95,88,89,81,95,30
5,Robert Lewandowski,184,80,91,ST,91,111000000,240000,Poland,71,94,87,85,89,35,42,19,15,6,12,8,10,81,49,94,81,88,88,77,78,77,93,82,89,84,76,86,85,Right,4,4,4,High/ Medium,Unique,85,79,85,70,88,34
6,Kylian Mbappé Lottin,178,73,95,ST,91,185500000,160000,France,78,91,73,83,83,34,34,32,13,5,7,11,6,62,38,91,80,70,84,96,96,92,92,82,86,77,86,76,79,Right,4,5,3,High/ Low,Unique,92,79,63,70,90,24
7,Alisson Ramsés Becker,191,91,91,GK,90,102000000,160000,Brazil,17,13,19,45,20,15,19,16,86,88,85,91,89,27,11,13,66,23,65,56,47,40,88,37,64,52,32,78,14,Right,3,1,3,Medium/ Medium,Unique,27,19,18,44,30,30
8,Mohamed Salah Ghaly,175,71,90,RW,90,120500000,250000,Egypt,79,91,59,84,79,38,43,41,14,14,9,11,14,63,55,91,84,83,90,94,92,91,92,91,80,69,85,75,84,Left,3,4,3,High/ Medium,Unique,90,83,69,75,89,30
9,Sadio Mané,175,69,90,LW,90,120500000,250000,Senegal,76,90,84,85,75,42,42,38,10,10,15,7,14,75,35,92,85,71,84,95,93,93,93,86,84,86,88,70,78,Right,4,4,3,High/ Medium,Unique,91,76,64,71,89,30
